"","Date","region","total confirmed cases","new cases","interventions"
"127",2020-02-08,"NSW",3,0,NA
"128",2020-02-08,"WA",0,0,NA
"129",2020-02-08,"VIC",4,0,NA
"130",2020-02-08,"SA",2,0,NA
"131",2020-02-08,"ACT",0,0,NA
"132",2020-02-08,"NT",0,0,NA
"133",2020-02-08,"QLD",5,0,NA
"134",2020-02-08,"TAS",0,0,NA
"135",2020-02-08,"AUS",14,0,NA
"136",2020-02-09,"NSW",3,0,NA
"137",2020-02-09,"WA",0,0,NA
"138",2020-02-09,"VIC",4,0,NA
"139",2020-02-09,"SA",2,0,NA
"140",2020-02-09,"ACT",0,0,NA
"141",2020-02-09,"NT",0,0,NA
"142",2020-02-09,"QLD",5,0,NA
"143",2020-02-09,"TAS",0,0,NA
"144",2020-02-09,"AUS",14,0,NA
"145",2020-02-10,"NSW",3,0,NA
"146",2020-02-10,"WA",0,0,NA
"147",2020-02-10,"VIC",4,0,NA
"148",2020-02-10,"SA",2,0,NA
"149",2020-02-10,"ACT",0,0,NA
"150",2020-02-10,"NT",0,0,NA
"151",2020-02-10,"QLD",5,0,NA
"152",2020-02-10,"TAS",0,0,NA
"153",2020-02-10,"AUS",14,0,NA
"154",2020-02-11,"NSW",3,0,NA
"155",2020-02-11,"WA",0,0,NA
"156",2020-02-11,"VIC",4,0,NA
"157",2020-02-11,"SA",2,0,NA
"158",2020-02-11,"ACT",0,0,NA
"159",2020-02-11,"NT",0,0,NA
"160",2020-02-11,"QLD",5,0,NA
"161",2020-02-11,"TAS",0,0,NA
"162",2020-02-11,"AUS",14,0,NA
"163",2020-02-12,"NSW",3,0,NA
"164",2020-02-12,"WA",0,0,NA
"165",2020-02-12,"VIC",4,0,NA
"166",2020-02-12,"SA",2,0,NA
"167",2020-02-12,"ACT",0,0,NA
"168",2020-02-12,"NT",0,0,NA
"169",2020-02-12,"QLD",5,0,NA
"170",2020-02-12,"TAS",0,0,NA
"171",2020-02-12,"AUS",14,0,NA
"172",2020-02-13,"NSW",3,0,NA
"173",2020-02-13,"WA",0,0,NA
"174",2020-02-13,"VIC",4,0,NA
"175",2020-02-13,"SA",2,0,NA
"176",2020-02-13,"ACT",0,0,NA
"177",2020-02-13,"NT",0,0,NA
"178",2020-02-13,"QLD",5,0,NA
"179",2020-02-13,"TAS",0,0,NA
"180",2020-02-13,"AUS",14,0,NA
"181",2020-02-14,"NSW",3,0,NA
"182",2020-02-14,"WA",0,0,NA
"183",2020-02-14,"VIC",4,0,NA
"184",2020-02-14,"SA",2,0,NA
"185",2020-02-14,"ACT",0,0,NA
"186",2020-02-14,"NT",0,0,NA
"187",2020-02-14,"QLD",5,0,NA
"188",2020-02-14,"TAS",0,0,NA
"189",2020-02-14,"AUS",14,0,NA
"190",2020-02-15,"NSW",3,0,NA
"191",2020-02-15,"WA",0,0,NA
"192",2020-02-15,"VIC",4,0,NA
"193",2020-02-15,"SA",2,0,NA
"194",2020-02-15,"ACT",0,0,NA
"195",2020-02-15,"NT",0,0,NA
"196",2020-02-15,"QLD",5,0,NA
"197",2020-02-15,"TAS",0,0,NA
"198",2020-02-15,"AUS",14,0,NA
"199",2020-02-16,"NSW",3,0,NA
"200",2020-02-16,"WA",0,0,NA
"201",2020-02-16,"VIC",4,0,NA
"202",2020-02-16,"SA",2,0,NA
"203",2020-02-16,"ACT",0,0,NA
"204",2020-02-16,"NT",0,0,NA
"205",2020-02-16,"QLD",5,0,NA
"206",2020-02-16,"TAS",0,0,NA
"207",2020-02-16,"AUS",14,0,NA
"208",2020-02-17,"NSW",3,0,NA
"209",2020-02-17,"WA",0,0,NA
"210",2020-02-17,"VIC",4,0,NA
"211",2020-02-17,"SA",2,0,NA
"212",2020-02-17,"ACT",0,0,NA
"213",2020-02-17,"NT",0,0,NA
"214",2020-02-17,"QLD",5,0,NA
"215",2020-02-17,"TAS",0,0,NA
"216",2020-02-17,"AUS",14,0,NA
"217",2020-02-18,"NSW",3,0,NA
"218",2020-02-18,"WA",0,0,NA
"219",2020-02-18,"VIC",4,0,NA
"220",2020-02-18,"SA",2,0,NA
"221",2020-02-18,"ACT",0,0,NA
"222",2020-02-18,"NT",0,0,NA
"223",2020-02-18,"QLD",5,0,NA
"224",2020-02-18,"TAS",0,0,NA
"225",2020-02-18,"AUS",14,0,NA
"226",2020-02-19,"NSW",3,0,NA
"227",2020-02-19,"WA",0,0,NA
"228",2020-02-19,"VIC",4,0,NA
"229",2020-02-19,"SA",2,0,NA
